                                        CALPUFF        Version: 5.8            Level: 070623      
 **********************************************************************************************************************************

 CALPUFF test case run - 3 point sources                                         
 24-Hour Simulation using CALMET met. data                                       
 Gridded receptors on 17x17 20-km met grid                                       
 
                             -----------------------
                               Hourly Mass Balance
                                      (g)
                             -----------------------
 
                                        Advected                    Wet          Dry         Domain       Domain       Domain   
 Yr  Day Hr   Species      Emitted        Out      Transformed   Depletion    Depletion       Total       Surface       Aloft   
 
2002   2  1 SO2           3.02177E+05  6.23915E+03 -6.03751E+02  0.00000E+00  3.68333E+04  2.58501E+05  2.58501E+05  0.00000E+00
2002   2  1 SO4           0.00000E+00  2.39118E+01  9.05628E+02  0.00000E+00  1.72530E+00  8.79991E+02  8.79991E+02  0.00000E+00
2002   2  1 NOX           5.01904E+05  1.28159E+04 -9.93837E+03  0.00000E+00  2.73140E+02  4.78877E+05  4.78877E+05  0.00000E+00
2002   2  1 HNO3          0.00000E+00  2.76500E+02  1.36112E+04  0.00000E+00  1.66914E+03  1.16656E+04  1.16656E+04  0.00000E+00
2002   2  1 NO3           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
2002   2  1 PM10          4.44607E+04  1.12589E+03  0.00000E+00  0.00000E+00  2.18187E+02  4.31166E+04  4.31166E+04  0.00000E+00
2002   2  1 NH3           5.52094E+02  1.44115E+01  0.00000E+00  0.00000E+00  0.00000E+00  5.37682E+02  5.37682E+02  0.00000E+00
2002   2  2 SO2           3.02177E+05  9.16084E+03 -1.12024E+03  0.00000E+00  5.36286E+04  4.96768E+05  4.96321E+05  4.47179E+02
2002   2  2 SO4           0.00000E+00  4.52837E+01  1.68036E+03  0.00000E+00  4.39623E+00  2.51067E+03  2.50788E+03  2.78513E+00
2002   2  2 NOX           5.01904E+05  1.90895E+04 -1.94208E+04  0.00000E+00  1.49798E+03  9.40773E+05  9.40000E+05  7.73505E+02
2002   2  2 HNO3          0.00000E+00  4.45801E+02  1.72670E+04  0.00000E+00  2.75188E+03  2.57350E+04  2.57049E+04  3.00663E+01
2002   2  2 NO3           0.00000E+00  1.26020E+02  9.18286E+03  0.00000E+00  1.50711E+01  9.04177E+03  9.03029E+03  1.14822E+01
2002   2  2 PM10          4.44607E+04  1.68714E+03  0.00000E+00  0.00000E+00  3.67773E+02  8.55224E+04  8.54540E+04  6.83464E+01
2002   2  2 NH3           5.52094E+02  2.16173E+01  0.00000E+00  0.00000E+00  0.00000E+00  1.06816E+03  1.06727E+03  8.84436E-01
2002   2  3 SO2           3.02177E+05  2.85763E+03 -1.59630E+03  0.00000E+00  6.30372E+04  7.31454E+05  7.30801E+05  6.52231E+02
2002   2  3 SO4           0.00000E+00  2.15592E+01  2.39445E+03  0.00000E+00  6.94083E+00  4.87662E+03  4.87252E+03  4.09219E+00
2002   2  3 NOX           5.01904E+05  6.27328E+03 -2.85669E+04  0.00000E+00  3.58174E+03  1.40426E+06  1.40311E+06  1.14453E+03
2002   2  3 HNO3          0.00000E+00  1.12935E+02  2.20794E+04  0.00000E+00  3.64863E+03  4.40528E+04  4.40092E+04  4.36145E+01
2002   2  3 NO3           0.00000E+00  1.85861E+02  1.67743E+04  0.00000E+00  3.52534E+01  2.55950E+04  2.55775E+04  1.74232E+01
2002   2  3 PM10          4.44607E+04  5.61001E+02  0.00000E+00  0.00000E+00  4.85617E+02  1.28936E+05  1.28835E+05  1.01071E+02
2002   2  3 NH3           5.52094E+02  7.20576E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.61305E+03  1.61174E+03  1.30877E+00
2002   2  4 SO2           3.02177E+05  8.79290E+03 -2.06520E+03  0.00000E+00  7.12711E+04  9.51502E+05  9.51502E+05  0.00000E+00
2002   2  4 SO4           0.00000E+00  6.52777E+01  3.09780E+03  0.00000E+00  1.09664E+01  7.89817E+03  7.89817E+03  0.00000E+00
2002   2  4 NOX           5.01904E+05  1.88323E+04 -3.77445E+04  0.00000E+00  6.50369E+03  1.84308E+06  1.84308E+06  0.00000E+00
2002   2  4 HNO3          0.00000E+00  2.08126E+02  2.41317E+04  0.00000E+00  4.42061E+03  6.35558E+04  6.35558E+04  0.00000E+00
2002   2  4 NO3           0.00000E+00  7.12325E+02  2.71243E+04  0.00000E+00  7.18424E+01  5.19351E+04  5.19351E+04  0.00000E+00
2002   2  4 PM10          4.44607E+04  1.68442E+03  0.00000E+00  0.00000E+00  6.13397E+02  1.71099E+05  1.71099E+05  0.00000E+00
2002   2  4 NH3           5.52094E+02  2.16173E+01  0.00000E+00  0.00000E+00  0.00000E+00  2.14352E+03  2.14352E+03  0.00000E+00
2002   2  5 SO2           3.02177E+05  1.27662E+04 -2.50486E+03  0.00000E+00  7.79812E+04  1.16043E+06  1.15955E+06  8.73778E+02
2002   2  5 SO4           0.00000E+00  1.39515E+02  3.75729E+03  0.00000E+00  1.43045E+01  1.15016E+04  1.14921E+04  9.57515E+00
2002   2  5 NOX           5.01904E+05  2.81752E+04 -4.64338E+04  0.00000E+00  8.63360E+03  2.26174E+06  2.26015E+06  1.59314E+03
2002   2  5 HNO3          0.00000E+00  1.12376E+03  3.28182E+04  0.00000E+00  5.62248E+03  8.96277E+04  8.95229E+04  1.04846E+02
2002   2  5 NO3           0.00000E+00  9.58922E+02  3.02874E+04  0.00000E+00  9.90583E+01  8.11646E+04  8.11278E+04  3.67860E+01
2002   2  5 PM10          4.44607E+04  2.56710E+03  0.00000E+00  0.00000E+00  7.12790E+02  2.12280E+05  2.12135E+05  1.45137E+02
2002   2  5 NH3           5.52094E+02  3.29898E+01  0.00000E+00  0.00000E+00  0.00000E+00  2.66263E+03  2.66075E+03  1.87481E+00
2002   2  6 SO2           3.02177E+05  9.09267E+03 -2.92229E+03  0.00000E+00  8.28175E+04  1.36777E+06  1.36373E+06  4.03731E+03
2002   2  6 SO4           0.00000E+00  6.60707E+01  4.38344E+03  0.00000E+00  1.80607E+01  1.58009E+04  1.57326E+04  6.83762E+01
2002   2  6 NOX           5.01904E+05  1.88342E+04 -5.47238E+04  0.00000E+00  9.95258E+03  2.68014E+06  2.67297E+06  7.16578E+03
2002   2  6 HNO3          0.00000E+00  2.18360E+02  6.91416E+04  0.00000E+00  7.72496E+03  1.50826E+05  1.50232E+05  5.94275E+02
2002   2  6 NO3           0.00000E+00  7.14483E+02  5.71408E+03  0.00000E+00  9.52797E+01  8.60689E+04  8.56558E+04  4.13094E+02
2002   2  6 PM10          4.44607E+04  1.68598E+03  0.00000E+00  0.00000E+00  7.84330E+02  2.54271E+05  2.53585E+05  6.85622E+02
2002   2  6 NH3           5.52094E+02  2.16173E+01  0.00000E+00  0.00000E+00  0.00000E+00  3.19311E+03  3.18426E+03  8.84664E+00
2002   2  7 SO2           3.02177E+05  1.41752E+04 -3.33657E+03  0.00000E+00  8.69637E+04  1.56547E+06  1.55915E+06  6.32757E+03
2002   2  7 SO4           0.00000E+00  1.87547E+02  5.00485E+03  0.00000E+00  2.30142E+01  2.05952E+04  2.04672E+04  1.28012E+02
2002   2  7 NOX           5.01904E+05  3.11164E+04 -6.30086E+04  0.00000E+00  1.29809E+04  3.07494E+06  3.06383E+06  1.11088E+04
2002   2  7 HNO3          0.00000E+00  1.21604E+03  5.20082E+04  0.00000E+00  8.96699E+03  1.92651E+05  1.91508E+05  1.14315E+03
2002   2  7 NO3           0.00000E+00  1.67475E+03  3.37420E+04  0.00000E+00  1.31089E+02  1.18005E+05  1.17275E+05  7.30453E+02
2002   2  7 PM10          4.44607E+04  2.87573E+03  0.00000E+00  0.00000E+00  8.95431E+02  2.94960E+05  2.93866E+05  1.09437E+03
2002   2  7 NH3           5.52094E+02  3.69896E+01  0.00000E+00  0.00000E+00  0.00000E+00  3.70821E+03  3.69419E+03  1.40178E+01
2002   2  8 SO2           3.02177E+05  1.48363E+04 -1.38101E+04  0.00000E+00  8.91907E+04  1.74981E+06  1.74021E+06  9.60411E+03
