                                        CALPUFF        Version: 5.8            Level: 070623      
 **********************************************************************************************************************************

CALPUFF test case run - 3 point sources                                         
24-Hour Simulation using CALMET met. data                                       
Gridded receptors on 17x17 20-km met grid                                       
 
                             ---------------
                                Mass Flux
                                  (g/s)
                             ---------------
 
                             RECT Box        
  Yr Day Hr   Species        In        Out      
 
2002   1  1 SO2          0.00000E+00 0.00000E+00
2002   1  1 SO4          0.00000E+00 0.00000E+00
2002   1  1 NOX          0.00000E+00 0.00000E+00
2002   1  1 HNO3         0.00000E+00 0.00000E+00
2002   1  1 NO3          0.00000E+00 0.00000E+00
2002   1  1 PM10         0.00000E+00 0.00000E+00
2002   1  1 NH3          0.00000E+00 0.00000E+00
2002   1  2 SO2          0.00000E+00 0.00000E+00
2002   1  2 SO4          0.00000E+00 0.00000E+00
2002   1  2 NOX          0.00000E+00 0.00000E+00
2002   1  2 HNO3         0.00000E+00 0.00000E+00
2002   1  2 NO3          0.00000E+00 0.00000E+00
2002   1  2 PM10         0.00000E+00 0.00000E+00
2002   1  2 NH3          0.00000E+00 0.00000E+00
2002   1  3 SO2          0.00000E+00 0.00000E+00
2002   1  3 SO4          0.00000E+00 0.00000E+00
2002   1  3 NOX          0.00000E+00 0.00000E+00
2002   1  3 HNO3         0.00000E+00 0.00000E+00
2002   1  3 NO3          0.00000E+00 0.00000E+00
2002   1  3 PM10         0.00000E+00 0.00000E+00
2002   1  3 NH3          0.00000E+00 0.00000E+00
2002   1  4 SO2          0.00000E+00 0.00000E+00
2002   1  4 SO4          0.00000E+00 0.00000E+00
2002   1  4 NOX          0.00000E+00 0.00000E+00
2002   1  4 HNO3         0.00000E+00 0.00000E+00
2002   1  4 NO3          0.00000E+00 0.00000E+00
2002   1  4 PM10         0.00000E+00 0.00000E+00
2002   1  4 NH3          0.00000E+00 0.00000E+00
2002   1  5 SO2          0.00000E+00 0.00000E+00
2002   1  5 SO4          0.00000E+00 0.00000E+00
2002   1  5 NOX          0.00000E+00 0.00000E+00
2002   1  5 HNO3         0.00000E+00 0.00000E+00
2002   1  5 NO3          0.00000E+00 0.00000E+00
2002   1  5 PM10         0.00000E+00 0.00000E+00
2002   1  5 NH3          0.00000E+00 0.00000E+00
2002   1  6 SO2          0.00000E+00 0.00000E+00
2002   1  6 SO4          0.00000E+00 0.00000E+00
2002   1  6 NOX          0.00000E+00 0.00000E+00
2002   1  6 HNO3         0.00000E+00 0.00000E+00
2002   1  6 NO3          0.00000E+00 0.00000E+00
2002   1  6 PM10         0.00000E+00 0.00000E+00
2002   1  6 NH3          0.00000E+00 0.00000E+00
2002   1  7 SO2          0.00000E+00 0.00000E+00
2002   1  7 SO4          0.00000E+00 0.00000E+00
2002   1  7 NOX          0.00000E+00 0.00000E+00
2002   1  7 HNO3         0.00000E+00 0.00000E+00
2002   1  7 NO3          0.00000E+00 0.00000E+00
2002   1  7 PM10         0.00000E+00 0.00000E+00
2002   1  7 NH3          0.00000E+00 0.00000E+00
2002   1  8 SO2          0.00000E+00 0.00000E+00
2002   1  8 SO4          0.00000E+00 0.00000E+00
2002   1  8 NOX          0.00000E+00 0.00000E+00
2002   1  8 HNO3         0.00000E+00 0.00000E+00
2002   1  8 NO3          0.00000E+00 0.00000E+00
2002   1  8 PM10         0.00000E+00 0.00000E+00
2002   1  8 NH3          0.00000E+00 0.00000E+00
2002   1  9 SO2          0.00000E+00 0.00000E+00
2002   1  9 SO4          0.00000E+00 0.00000E+00
2002   1  9 NOX          0.00000E+00 0.00000E+00
2002   1  9 HNO3         0.00000E+00 0.00000E+00
2002   1  9 NO3          0.00000E+00 0.00000E+00
2002   1  9 PM10         0.00000E+00 0.00000E+00
2002   1  9 NH3          0.00000E+00 0.00000E+00
2002   1 10 SO2          0.00000E+00 0.00000E+00
2002   1 10 SO4          0.00000E+00 0.00000E+00
2002   1 10 NOX          0.00000E+00 0.00000E+00
2002   1 10 HNO3         0.00000E+00 0.00000E+00
2002   1 10 NO3          0.00000E+00 0.00000E+00
2002   1 10 PM10         0.00000E+00 0.00000E+00
2002   1 10 NH3          0.00000E+00 0.00000E+00
2002   1 11 SO2          0.00000E+00 0.00000E+00
2002   1 11 SO4          0.00000E+00 0.00000E+00
2002   1 11 NOX          0.00000E+00 0.00000E+00
2002   1 11 HNO3         0.00000E+00 0.00000E+00
2002   1 11 NO3          0.00000E+00 0.00000E+00
2002   1 11 PM10         0.00000E+00 0.00000E+00
2002   1 11 NH3          0.00000E+00 0.00000E+00
2002   1 12 SO2          0.00000E+00 0.00000E+00
2002   1 12 SO4          0.00000E+00 0.00000E+00
2002   1 12 NOX          0.00000E+00 0.00000E+00
2002   1 12 HNO3         0.00000E+00 0.00000E+00
2002   1 12 NO3          0.00000E+00 0.00000E+00
2002   1 12 PM10         0.00000E+00 0.00000E+00
2002   1 12 NH3          0.00000E+00 0.00000E+00
2002   1 13 SO2          0.00000E+00 0.00000E+00
2002   1 13 SO4          0.00000E+00 0.00000E+00
2002   1 13 NOX          0.00000E+00 0.00000E+00
2002   1 13 HNO3         0.00000E+00 0.00000E+00
2002   1 13 NO3          0.00000E+00 0.00000E+00
2002   1 13 PM10         0.00000E+00 0.00000E+00
2002   1 13 NH3          0.00000E+00 0.00000E+00
2002   1 14 SO2          0.00000E+00 0.00000E+00
2002   1 14 SO4          0.00000E+00 0.00000E+00
2002   1 14 NOX          0.00000E+00 0.00000E+00
2002   1 14 HNO3         0.00000E+00 0.00000E+00
2002   1 14 NO3          0.00000E+00 0.00000E+00
2002   1 14 PM10         0.00000E+00 0.00000E+00
2002   1 14 NH3          0.00000E+00 0.00000E+00
2002   1 15 SO2          0.00000E+00 0.00000E+00
2002   1 15 SO4          0.00000E+00 0.00000E+00
2002   1 15 NOX          0.00000E+00 0.00000E+00
2002   1 15 HNO3         0.00000E+00 0.00000E+00
2002   1 15 NO3          0.00000E+00 0.00000E+00
2002   1 15 PM10         0.00000E+00 0.00000E+00
